ParkName,CampType,CampCount
Fire Island NS,Tent,0
Fire Island NS,RV,0
Fire Island NS,Backcountry,"1,546"
Gates of the Arctic NP & PRES,Tent,0
Gates of the Arctic NP & PRES,RV,0
Gates of the Arctic NP & PRES,Backcountry,"7,971"
Gauley River NRA,Tent,"3,449"
Gauley River NRA,RV,668
Gauley River NRA,Backcountry,0
Glacier Bay NP & PRES,Tent,908
Glacier Bay NP & PRES,RV,0
Glacier Bay NP & PRES,Backcountry,"6,161"
Glacier NP,Tent,"136,599"
Glacier NP,RV,"126,933"
Glacier NP,Backcountry,"38,421"
Glen Canyon NRA,Tent,"6,133"
Glen Canyon NRA,RV,"8,109"
Glen Canyon NRA,Backcountry,"36,871"
Golden Gate NRA,Tent,"4,337"
Golden Gate NRA,RV,0
Golden Gate NRA,Backcountry,"1,269"
Grand Canyon NP,Tent,"206,626"
Grand Canyon NP,RV,"88,600"
Grand Canyon NP,Backcountry,"330,703"
Grand Portage NM,Tent,0
Grand Portage NM,RV,0
Grand Portage NM,Backcountry,36
Grand Teton NP,Tent,0
Grand Teton NP,RV,0
Grand Teton NP,Backcountry,"36,206"
Great Basin NP,Tent,"26,743"
Great Basin NP,RV,"14,748"
Great Basin NP,Backcountry,"1,067"
Great Sand Dunes NP & PRES,Tent,"30,757"
Great Sand Dunes NP & PRES,RV,"17,532"
Great Sand Dunes NP & PRES,Backcountry,"4,508"
Great Smoky Mountains NP,Tent,"190,574"
Great Smoky Mountains NP,RV,"111,680"
Great Smoky Mountains NP,Backcountry,"109,349"
Greenbelt Park,Tent,"9,575"
Greenbelt Park,RV,"7,489"
Greenbelt Park,Backcountry,0
Guadalupe Mountains NP,Tent,"10,654"
Guadalupe Mountains NP,RV,"6,254"
Guadalupe Mountains NP,Backcountry,"2,954"
Gulf Islands NS,Tent,"37,870"
Gulf Islands NS,RV,"140,712"
Gulf Islands NS,Backcountry,119
Haleakala NP,Tent,"8,332"
Haleakala NP,RV,0
Haleakala NP,Backcountry,"2,392"
Hawaii Volcanoes NP,Tent,"1,697"
Hawaii Volcanoes NP,RV,0
Hawaii Volcanoes NP,Backcountry,"5,178"
Hot Springs NP,Tent,"3,706"
Hot Springs NP,RV,"20,315"
Hot Springs NP,Backcountry,0
Hovenweep NM,Tent,"1,184"
Hovenweep NM,RV,"1,211"
Hovenweep NM,Backcountry,0
Indiana Dunes NL,Tent,"16,716"
Indiana Dunes NL,RV,"3,790"
Indiana Dunes NL,Backcountry,0
Isle Royale NP,Tent,"3,160"
Isle Royale NP,RV,0
Isle Royale NP,Backcountry,"22,604"
"John D. Rockefeller, Jr. MEM PKWY",Tent,0
"John D. Rockefeller, Jr. MEM PKWY",RV,0
"John D. Rockefeller, Jr. MEM PKWY",Backcountry,"1,572"
Joshua Tree NP,Tent,"232,964"
Joshua Tree NP,RV,"65,409"
Joshua Tree NP,Backcountry,"21,195"
Katmai NP & PRES,Tent,"2,098"
Katmai NP & PRES,RV,0
Katmai NP & PRES,Backcountry,483
Kenai Fjords NP,Tent,"1,514"
Kenai Fjords NP,RV,0
Kenai Fjords NP,Backcountry,648
Kings Canyon NP,Tent,"110,490"
Kings Canyon NP,RV,"32,686"
Kings Canyon NP,Backcountry,"12,046"
Kings Mountain NMP,Tent,0
Kings Mountain NMP,RV,0
Kings Mountain NMP,Backcountry,79
Klondike Gold Rush NHP Alaska,Tent,"2,449"
Klondike Gold Rush NHP Alaska,RV,0
Klondike Gold Rush NHP Alaska,Backcountry,"5,061"
Kobuk Valley NP,Tent,0
Kobuk Valley NP,RV,0
Kobuk Valley NP,Backcountry,"7,050"
Lake Chelan NRA,Tent,0
Lake Chelan NRA,RV,0
Lake Chelan NRA,Backcountry,"6,314"
Lake Clark NP & PRES,Tent,0
Lake Clark NP & PRES,RV,0
Lake Clark NP & PRES,Backcountry,"6,486"
Lake Mead NRA,Tent,"98,223"
Lake Mead NRA,RV,"125,008"
Lake Mead NRA,Backcountry,"155,433"
Lake Meredith NRA,Tent,"6,961"
Lake Meredith NRA,RV,"31,132"
Lake Meredith NRA,Backcountry,0
Lake Roosevelt NRA,Tent,"45,721"
Lake Roosevelt NRA,RV,"49,827"
Lake Roosevelt NRA,Backcountry,"3,029"
Lassen Volcanic NP,Tent,"59,742"
Lassen Volcanic NP,RV,"27,633"
Lassen Volcanic NP,Backcountry,"9,057"
Lava Beds NM,Tent,"8,229"
Lava Beds NM,RV,"2,128"
Lava Beds NM,Backcountry,49
Mammoth Cave NP,Tent,"39,636"
Mammoth Cave NP,RV,"16,248"
Mammoth Cave NP,Backcountry,"5,088"
Mesa Verde NP,Tent,"44,925"
Mesa Verde NP,RV,"12,073"
Mesa Verde NP,Backcountry,0
Mojave NPRES,Tent,"1,654"
Mojave NPRES,RV,"1,308"
Mojave NPRES,Backcountry,0
Moores Creek NB,Tent,0
Moores Creek NB,RV,0
Moores Creek NB,Backcountry,207
Mount Rainier NP,Tent,"64,265"
Mount Rainier NP,RV,"28,981"
Mount Rainier NP,Backcountry,"57,636"
Natchez Trace PKWY,Tent,"5,907"
Natchez Trace PKWY,RV,"10,038"
Natchez Trace PKWY,Backcountry,0
